Ski Hi 5,v-fandango_aakiy,http://www.fandango.com/alamosaskihi5_aakiy/theaterpage,http://www.fandango.com/alamosaskihi5_aakiy/theaterpage,,719.589.4471,7089 W Highway 60,,Alamosa,CO,81101,US,37.5401920,-106.0498790
Elvis Cinemas,v-fandango_aasvm,http://www.fandango.com/arvadaelviscinemas_aasvm/theaterpage,http://www.fandango.com/arvadaelviscinemas_aasvm/theaterpage,,303.948.5555,5157 W. 64th Ave.,,Arvada,CO,80003,US,39.81281650,-105.05330230
Landmark Theatre's  Olde Town 14,v-fandango_aacjn,http://www.fandango.com/arvadalandmarktheatresoldetown14_aacjn/theaterpage,http://www.fandango.com/arvadalandmarktheatresoldetown14_aacjn/theaterpage,,303.420.6266,5550 Wadsworth Blvd. Located on W. 55th Ave. and Wadsworth,,Arvada,CO,80002,US,39.79075660,-105.08496870
Landmark Theatre's Olde Town Stadium 14,v-fandango_aawey,http://www.fandango.com/arvadalandmarktheatresoldetownstadium14_aawey/theaterpage,http://www.fandango.com/arvadalandmarktheatresoldetownstadium14_aawey/theaterpage,,303.352.1916,5550 Wadsworth Blvd. Located on W. 55th Ave. and Wadsworth,,Arvada,CO,80002,US,39.79075660,-105.08496870
Carmike Stage 3 Theatre,v-fandango_aalcc,http://www.fandango.com/aspencarmikestage3theatre_aalcc/theaterpage,http://www.fandango.com/aspencarmikestage3theatre_aalcc/theaterpage,,970.925.2048,625 E. Main St.,,Aspen,CO,81611,US,39.1897830,-106.8162940
Isis Theater,v-fandango_aaoor,http://www.fandango.com/aspenisistheater_aaoor/theaterpage,http://www.fandango.com/aspenisistheater_aaoor/theaterpage,,970.925.7584,406 E. Hopkins Ave.,,Aspen,CO,81611,US,39.189840,-106.8191560
AMC Arapahoe Crossing 16,v-fandango_aaewn,http://www.fandango.com/auroraamcarapahoecrossing16_aaewn/theaterpage,http://www.fandango.com/auroraamcarapahoecrossing16_aaewn/theaterpage,,303.766.7200,6696 S. Parker Road Located on Parker and Arapahoe Roads,,Aurora,CO,80016,US,39.58150710,-104.71709540
AMC Seven Hills 10,v-fandango_aaalr,http://www.fandango.com/auroraamcsevenhills10_aaalr/theaterpage,http://www.fandango.com/auroraamcsevenhills10_aaalr/theaterpage,,303.439.2262,18605 E. Hampden Ave.,,Aurora,CO,80013,US,39.6531790,-104.7702520
AMC Southlands 16,v-fandango_aatxu,http://www.fandango.com/auroraamcsouthlands16_aatxu/theaterpage,http://www.fandango.com/auroraamcsouthlands16_aatxu/theaterpage,,303.627.5430,23955 E Plaza Ave.,,Aurora,CO,80016,US,39.6065470,-104.7088230
Aurora Plaza 8 Cinemas,v-fandango_aapmj,http://www.fandango.com/auroraauroraplaza8cinemas_aapmj/theaterpage,http://www.fandango.com/auroraauroraplaza8cinemas_aapmj/theaterpage,,303.364.0726,777 Peoria St.,,Aurora,CO,80011,US,39.7270910,-104.8487120
