RealmOwner.display_name,RealmOwner.name,Website.url,calendar.Website.url,Email.email,Phone.phone,Address.street1,Address.street2,Address.city,Address.state,Address.zip,Address.country,GeoPosition.latitude,GeoPosition.longitude,SearchWords.value
1300 Block of Pearl Street,v-pearlst,http://www.boulderdowntown.com,http://www.boulderdowntown.com,ignore-pearlst@bivio.biz,,1300 Pearl Street,,Boulder,CO,80302,US,40.0179994,-105.2784601,
1STBANK Center,v-firstbankcenter,http://1stbankcenter.com,http://1stbankcenter.com/events/,1stbankcenter@aeglive.com,303.410.0700 x301,11450 Broomfield Lane,,Broomfield,CO,80021,US,39.904696,-105.085281,
2am,v-coclubs_2am,http://www.coclubs.com/venue/detail/2am,http://www.coclubs.com/venue/detail/2am,ignore-coclubs_2am@bivio.biz,303.832.8628,1144 Broadway,,Denver,CO,80203,US,39.734699,-104.987045,
Appaloosa Grill,v-appaloosagrill,http://www.appaloosagrill.com,http://www.appaloosagrill.com/music,ignore-appaloosagrill@bivio.biz,720.932.1700,535 16th Street # 110,,Denver,CO,80202,US,37.7667079,-122.3918309,
Arvada Center for the Arts and Humanities,v-arvadacenter,http://arvadacenter.org/,http://arvadacenter.org/on-stage,ignore-arvadacenter@bivio.biz,720.898.7200,6901 Wadsworth Blvd.,,Arvada,CO,80003,US,39.823499,-105.0835205,
Atonement Lutheran Church,v-atonementluthern,http://www.atonement-lutheran.org/,http://www.atonement-lutheran.org/,ignore-atonementluthern@bivio.biz,,685 Inca Parkway,,Boulder,CO,80303,US,39.999287,-105.240774,
Avery Brewing,v-avery,http://www.averybrewing.com,http://www.averybrewing.com/index.php?option=com_googlecalendar&Itemid=70,info@averybrewing.com,303.440.4324,5763 Arapahoe Ave,,Boulder,CO,80303,US,40.0161556,-105.2187145,
Bandimere Speedway,v-bandimere,http://www.bandimere.com/index.php,http://www.bandimere.com/calendar/,ignore-bandimere@bivio.biz,303.697.6001,3051 South Rooney Road,,Morrison,CO,80465,US,39.6622772,-105.187457,
Barbed Wire Books,v-barbedwire,http://www.barbedwirebooks.net/,http://www.barbedwirebooks.net/calendar/calendar.htm,barbedwirebooks@gmail.com,303.827.3620,504 Main Street,,Longmont,CO,80501,US,40.1677284,-105.1022516,
Barnes & Noble,v-barnesandnoble,http://store-locator.barnesandnoble.com/store/2333,http://store-locator.barnesandnoble.com/store/2333,ignore-barnesnoble@bivio.biz,303-444-0349,2999 Pearl Street,,Boulder,CO,80301,US,40.0233823,-105.2537813,
Bar Standard,v-coclubs_barstandard,http://www.coclubs.com/venue/detail/bar-standard,http://www.coclubs.com/venue/detail/bar-standard,ignore-coclubs_barstandard@bivio.biz,303.832.8628,1037 Broadway,,Denver,CO,80204,US,39.7328127,-104.9876076,
Beauty Bar Denver,v-beautybardenver,http://thebeautybar.com/denver/,http://thebeautybar.com/denver/,ignore-beautybardenver@admin.cal54.dev.bivio.biz,720.542.8024,608 East 13th Avenue,,Denver,CO,80302,US,39.7367324,-104.9795145,
Bender's Tavern,v-benderstavern,http://www.benderstavern.com,http://www.benderstavern.com/calendar/,ignore-benderstavern@bivio.biz,303.861.7070,314 East 13th Avenue,,Denver,CO,80203,US,39.7367895,-104.9831572,
Beta Nightclub,v-betanightclub,http://www.betanightclub.com/,http://fla.vor.us/wafform.aspx?_act=eventlisting&ClientID=642,ignore-betanightclub@bivio.biz,303.383.1909,1909 Blake Street,,Denver,CO,80202,US,39.7537236,-104.9954966,
Bethany Lutheran Church,v-bethanylutheran,http://www.bethany-denver.org/,http://www.bethany-denver.org/,ignore-bethanylutheran@bivio.biz,,4500 East Hampden Ave.,,Cherry Hills Village,CO,80113,US,39.6524681,-104.9331132,
Bluebird Theater,v-bluebirdtheater,http://bluebirdtheater.net/,http://bluebirdtheater.net/events.php,ignore-bluebirdtheater@bivio.biz,303.377.1666,3317 East Colfax Avenue,,Denver,CO,80206,US,39.7403648,-104.9483771,
Bob L. Burger Recreation Center,v-cityoflafayettereccenter,http://www.cityoflafayette.com/index.asp,http://www.cityoflafayette.com/Calendar.asp,ignore-cityoflafayettereccenter@bivio.biz,303.665.0469,111 West Baseline Road,,Lafeyette,CO,80026,US,40.0002875,-105.0906312,
Boettcher Concert Hall,v-boettcherconcert,http://www.artscomplex.com/Venues/BoettcherConcertHall/tabid/72/Default.aspx,http://www.artscomplex.com/Venues/BoettcherConcertHall/tabid/72/Default.aspx,ignore-boettcherconcert@bivio.biz,,"1000 14th Street, #15",,Denver,CO,80202,US,37.8138055,-122.2987737,
Boulder Book Store,v-boulderbookstore,http://boulderbookstore.indiebound.com/,http://boulderbookstore.indiebound.com/event,info@boulderbookstore.com,303.447.2074,1107 Pearl Street,,Boulder,CO,80302,US,40.0180016,-105.2811508,
Boulder History Museum,v-historymuseum,http://www.boulderhistory.org,http://www.boulderhistory.org,ignore-historymuseum@bivio.biz,303.449.3464,1206 Euclid Avenue,,Boulder,CO,80302,US,40.0050577,-105.2770959,
Boulder JCC,v-jcc,http://boulderjcc.org/,http://boulderjcc.org/Calendar/Home.aspx,ignore-jcc@bivio.biz,303.998.1900,3800 Kalmia Ave,,Boulder,CO,80303,US,40.039706,-105.245837,
Boulder Museum of Contemporary Art,v-bmoca,http://www.bmoca.org/,http://www.bmoca.org/feed/,info@bmoca.org,303.443.2122,1750 13th Street,,Boulder,CO,80302,US,40.015186,-105.2772766,
Boulder Outlook Hotel,v-boulderoutlook,http://www.boulderoutlook.com/,http://www.boulderoutlook.com/musiccalendar.html,talk-to-us@boulderoutlook.com,303.443.3322,800 28th Street,,Boulder,CO,80303,US,40.0024718,-105.2575493,blues
Boulder Public Library - George Reynolds Branch,v-bpl_reynolds,http://www.boulderlibrary.org/locations/grb.html,http://events.boulderlibrary.org?lib=2,ignore-bpl_reynolds@bivio.biz,303.441.3120,3595 Table Mesa Drive,,Boulder,CO,80305,US,39.9844508,-105.2526733,
Boulder Public Library - Main Branch,v-bpl_main,http://www.boulderlibrary.org,http://events.boulderlibrary.org?lib=0,ignore-bpl_main@bivio.biz,303.441.3100,1001 Arapahoe Avenue,,Boulder,CO,80302,US,40.013952,-105.281769,
Boulder Public Library - Meadows Branch,v-bpl_meadows,http://www.boulderlibrary.org/locations/meadows.html,http://events.boulderlibrary.org?lib=3,ignore-bpl_meadows@bivio.biz,303.441.4390,4800 Baseline Road,,Boulder,CO,80303,US,39.9980681,-105.2329641,
Boulder's Dinner Theatre,v-dinnertheatre,http://www.bouldersdinnertheatre.com,http://www.bouldersdinnertheatre.com/mainstage.html,ignore-dinnertheatre@bivio.biz,303.449.6000,5501 Arapahoe Avenue,,Boulder,CO,80303,US,40.0153951,-105.2249641,
Boulder Theater,v-bouldertheatre,http://www.bouldertheater.com/,http://www.bouldertheater.com/,ignore-bouldertheater@bivio.biz,303.786.7030,2032 14th Street,,Boulder,CO,80302,US,40.0192165,-105.2771847,music
Bovine Metropolis Theater,v-bovinemetropolis,http://www.bovinemetropolis.com/,http://www.bovinemetropolis.com/improv/bovine/view=BOV006,ignore-bovinemetropolis@bivio.biz,303.758.4722,1527 Champa Street,,Denver,CO,80027,US,39.746172,-104.994876,
Bridgewater Grill,v-bridgewatergrill,http://www.bridgewatergrill.com,http://www.bridgewatergrill.com/live-music,ignore-bridgewatergrill@bivio.biz,303.279.2010,800 11th Street,,Golden,CO,80401,US,39.7562649,-105.2226186,
Broomfield Auditorium,v-broomfieldauditorium,http://www.ci.broomfield.co.us/culturalaffairs/auditoriumindex.shtml,http://www.ci.broomfield.co.us/culturalaffairs/auditoriumindex.shtml,ignore-broomfieldauditorium@bivio.biz,,3 Community Park Road,,Broomfield,CO,80020,US,39.9177446,-105.0688544,
Budweiser Events Center,v-budweisereventscenter,http://www.budweisereventscenter.com,http://www.budweisereventscenter.com/calendar.cfm,ignore-budweisereventscenter@bivio.biz,970.619.4111,5290 Arena Cir,,Loveland,CO,80538,US,40.4439538,-104.9898335,
Bunit Venue,v-bunit_venue,http://test.bunit/,http://test.bunit/cal,ignore-bunit@bivio.biz,,111 main,,Boulder,CO,80304,US,40.0633751,-105.4074138,
Butterfly Pavilion,v-butterflies,http://www.butterflies.org,http://www.butterflies.org/events/calendar.php,ignore-butterflies@bivio.biz,303.469.5441,6252 West 104th Ave,,Westminster,CO,80020,US,39.8870234,-105.0664741,
Caffe Sole,v-caffesole,http://www.caffesole.com,http://www.caffesole.com/events.html,ashkan@caffesole.com,303.499.2985,637R South Broadway,,Boulder,CO,80305,US,39.9832044,-105.2499644,
Cervantes' Masterpiece Ballroom,v-cervantesmasterpiece,http://www.cervantesmasterpiece.com/,http://www.cervantesmasterpiece.com/calendar/view,ignore-cervantesmasterpiece@bivio.biz,303.297.1772,2627 Welton Street,,Denver,CO,80205,US,39.7543493,-104.9788115,
Cervantes' Other Side,v-cervantesother,http://www.cervantesmasterpiece.com/venue/detail/cervantes-other-side-,http://www.cervantesmasterpiece.com/venue/detail/cervantes-other-side-,ignore-cervantesother@bivio.biz,303-297-1772,2637 Welton Street,,Denver,CO,80205,US,39.7545003,-104.9786697,
Chautauqua Auditorium,v-chautauqua,http://www.chautauqua.com,http://www.chautauqua.com/upcoming_events.php,ignore-chautauqua@bivio.biz,303.442.3282,900 Baseline Road,,Boulder,CO,80302,US,39.9977881,-105.2813709,
Ciatano Winery,v-ciantano,http://ciatanowinery.com,http://ciatanowinery.com,ignore-ciantano@bivio.biz,303.823.5011,16858 N. St. Vrain Drive,,Lyons,CO,80540,US,40.2481458,-105.3068764,
City Hall,v-coclubs_cityhall,http://www.coclubs.com/venue/detail/city-hall,http://www.coclubs.com/venue/detail/city-hall,ignore-coclubs_cityhall@bivio.biz,303.832.8628,1144 Broadway,,Denver,CO,80203,US,39.734699,-104.987045,
City Park,v-cityparkpavilion,http://www.cityparkpavilion.com/,http://www.cityparkjazz.org/schedule.html,ignore-cityparkpavilion@bivio.biz,303.7441004,Colorado Blvd,,Denver,CO,80205,US,39.7536332,-104.9407577,
Community United Church of Christ,v-churchofchrist,http://www.cuccboulder.org/,http://www.cuccboulder.org/,ignore-churchofchrist@bivio.biz,,2500 Table Mesa Drive,,Boulder,CO,80305,US,39.9804167,-105.263094,
Conor O'Neill's Traditional Irish Pub,v-conoroneill,http://www.conoroneills.com/boulder/index.shtml,http://www.conoroneills.com/boulder/calendar/month.php,ignore-conoroneill@bivio.biz,303.449.1922,1922 13th Street,,Boulder,CO,80302,US,40.017417,-105.2783816,
CU Art Museum,v-cu_art,http://cuartmuseum.colorado.edu/,http://events.colorado.edu/EventList.aspx?view=Summary,ignore-cu_art@bivio.biz,,1085 18th Street,,Boulder,CO,80309,US,40.0070314,-105.2688092,
